Rank;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo
1;2/3/2022;BATMAN;1115313;137157;347;5;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula
2;17/3/2022;LOS TIPOS MALOS;174959;87265;303;3;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula
3;24/3/2022;JUJUTSU KAISEN 0;72405;72405;103;1;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula
4;15/3/2022;COMPETENCIA OFICIAL;60451;28216;126;3;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula
5;17/2/2022;UNCHARTED: FUERA DEL MAPA;525080;20844;77;7;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula
6;17/3/2022;AMBULANCIA;35736;13107;163;2;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula
7;9/3/1995;TIEMPOS VIOLENTOS;10472;10472;47;1;1;EE.UU;EE.UU;Quetin Tarantino;hombre;1;pelicula
8;10/2/2022;EL EXORCISMO DE DIOS;129342;9515;38;7;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula
9;24/3/2022;HASTA LA MUERTE;7663;7663;45;1;1;EE.UU;EE.UU;S.K. Dale;hombre;0;pelicula
10;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;865912;6934;42;14;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula
11;24/3/2022;EXODO;6355;6355;80;1;1;ALEMANIA;EUROPA;Tim Fehlbaum;hombre;0.5;pelicula
12;15/12/2021;SPIDER MAN SIN CAMINO A CASA;4031481;4854;28;17;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula
13;25/11/2021;ENCANTO;712294;2876;24;20;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula
14;17/3/2022;A CIEGAS;10788;2704;25;3;1;CANADA;NORTE AMERICA;Randall Okita;hombre;0;pelicula
15;22/3/2022;AZOR;2337;2067;19;2;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula
16;24/11/2011;EL PADRINO 50 AÑOS;81670;1339;7;17;1;EE.UU;EE.UU;Francis Ford Coppola;hombre;0.5;pelicula
17;24/2/2022;BELFAST;21931;1216;17;5;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula
18;27/1/2022;EL CALLEJON DE LAS ALMAS PERDIDAS;45638;1183;9;9;1;EE.UU;EE.UU;Guillermo del Toro;hombre;0.5;pelicula
19;27/1/2022;LICORICE PIZZA;64465;1149;13;10;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula
20;10/3/2022;KING;16252;1123;10;4;1;FRANCIA;EUROPA;David Moreau;hombre;0.5;pelicula
21;24/3/2022;R J W;1103;1103;5;1;0;ARGENTINA;ARGENTINA;Fermín Rivera;hombre;1;documental
22;20/12/2018;LA CASA DE LOS CONEJOS;5148;1046;10;13;0;ARGENTINA;ARGENTINA;Valeria Selinger;mujer;1;pelicula
23;24/3/2022;LOS OJOS DE TAMMY FAYE;927;927;13;1;1;EE.UU;EE.UU;Michael Showalter;hombre;0;pelicula
24;17/2/2022;SPENCER;31816;834;11;6;1;UK;EUROPA;Pablo Larraín;hombre;0;pelicula
25;25/11/2021;LA CASA GUCCI;138028;736;10;18;1;EE.UU;EE.UU;Ridley Scott;hombre;0;pelicula
26;10/2/2022;MUERTE EN EL NILO;99703;686;5;7;1;EE.UU;EE.UU;Kenneth Branagh;hombre;0;pelicula
27;21/10/2021;CODA;4254;653;18;6;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula
28;27/1/2022;ECOS DE UN CRIMEN;101497;560;2;10;0;ARGENTINA;ARGENTINA;Cristian Bernard;hombre;0;pelicula
29;24/2/2022;LA LLAMADA FINAL;33479;553;5;5;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula
30;10/2/2022;CORAZON DE FUEGO;38688;461;4;8;1;FRANCIA;EUROPA;Theodore Ty, Laurent Zeitoun;hombre;0.5;pelicula
31;31/3/2022;MORBIUS;429;429;2;1;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula
32;1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";1220;381;1;4;;;;;;;festival
33;21/10/2021;DUNA;176781;369;9;16;1;EE.UU;EE.UU;Denis Villeneuve;hombre;0.5;pelicula
34;1/3/2022;"""CICLO CULTURAL SAN MARTIN MARZO 2022""";1609;334;1;5;;;;;;;festival
35;24/3/2022;ADIOS A LA MEMORIA;303;303;7;1;0;ARGENTINA;ARGENTINA;Nicolás Prividera;hombre;1;documental
36;10/3/2022;AXIOMAS;3010;294;2;4;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula
37;9/12/2021;AMOR SIN BARRERA;15753;287;8;15;1;EE.UU;EE.UU;Steven Spielberg;hombre;0;pelicula
38;24/3/2022;LA ISLA DE LOS SECRETOS;259;259;1;1;0;ARGENTINA;ARGENTINA;Silvia Maturana, Pablo Navarro Espejo;mixto;1;documental
39;3/3/2022;LAS METAMORFOSIS;646;248;1;4;1;COREA DEL SUR;ASIA;Kim Hong-seon;hombre;0;pelicula
40;25/3/2022;(…) EL MISMO RIO ;164;164;1;1;0;ARGENTINA;ARGENTINA;Alejandro Fernández Mouján;hombre;1;documental
41;17/2/2022;NOCHE AMERICANA;2725;135;3;5;0;ARGENTINA;ARGENTINA;Alejandro Bazzano;hombre;0.5;pelicula
42;3/3/2022;BAJO LA CORTEZA;1744;133;3;4;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula
43;25/11/2021;EL PERRO QUE NO CALLA;4881;125;2;18;0;ARGENTINA;ARGENTINA;Ana Katz;mujer;0.5;pelicula
44;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2444;123;2;11;1;RUMANIA;EUROPA;Radu Jude;hombre;1;pelicula
45;4/3/2022;ATLAS;533;119;1;4;1;SUIZA;EUROPA;Niccolò Castelli;hombre;0.5;pelicula
46;13/1/2022;SCREAM: GRITA;300601;116;1;11;1;EE.UU;EE.UU;Matt Bettinelli-Olpin, Tyler Gillett;hombre;0;pelicula
47;2/12/2021;KING RICHARD: UNA FAMILIA GANADORA;18715;111;9;8;1;EE.UU;EE.UU;Reinaldo Marcus Green;hombre;0;pelicula
48;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2373;109;2;8;1;FRANCIA;EUROPA;Emmanuel Mouret;hombre;1;pelicula
49;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;94173;102;1;18;1;EE.UU;EE.UU;Walt Becker;hombre;0;pelicula
50;1/3/2022;"""TARDES DE CINE ARTE""";377;80;1;5;;;;;;;festival
51;23/3/2022;RETROSPECTIVA DE ALEJANDRO FERNANDEZ MOUJAN;84;66;1;2;;;;;;;festival
52;24/2/2022;RE GRANCHIO;1656;60;2;5;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula
53;13/1/2022;HOY SE ARREGLA EL MUNDO;71323;60;1;12;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula
54;3/2/2022;MADRES PARALELAS;19612;54;1;8;1;ESPAÑA;EUROPA;Pedro Almodóvar;hombre;1;pelicula
55;28/10/2021;EL RITUAL DEL ALCAUCIL;85;41;4;3;0;ARGENTINA;ARGENTINA;Ximena González;mujer;1;documental
56;9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;947;39;1;11;0;ARGENTINA;ARGENTINA;Fernando E. Solanas;hombre;1;documental
57;7/10/2021;AMOR BANDIDO;2065;36;1;9;0;ARGENTINA;ARGENTINA;Daniel Andres Werner;hombre;1;pelicula
58;14/10/2021;UN CUERPO ESTALLO EN MIL PEDAZOS;1002;29;2;8;0;ARGENTINA;ARGENTINA;Martín Sappia;hombre;1;documental
59;15/3/2022;"""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""";79;22;1;3;;;;;;;festival
60;2/12/2021;EX CASADOS;27565;19;1;15;0;ARGENTINA;ARGENTINA;Sabrina Farji;mujer;0.5;pelicula
61;3/2/2022;JESÚS LÓPEZ;1481;19;1;8;0;ARGENTINA;ARGENTINA;Maximiliano Schonfeld;hombre;0.5;pelicula
62;17/3/2022;TERROR EN EL ESTUDIO 666;2560;17;1;2;1;EE.UU;EE.UU;BJ McDonnell;hombre;0;pelicula
63;17/1/2019;RODOLFO WALSH - EL DOCUMENTAL;59;15;1;3;0;ARGENTINA;ARGENTINA;Fermín Rivera;hombre;1;documental
64;7/4/2016;LA GUARDERÍA;4912;14;1;22;0;ARGENTINA;ARGENTINA;Virginia Croatto;mujer;0;documental
65;16/9/2021;EN COMPAÑIA;512;14;1;4;0;ARGENTINA;ARGENTINA;Ada Frontini;mujer;0.5;documental
66;17/2/2022;EL TERRITORIO DEL AMOR;512;13;1;3;1;FRANCIA;EUROPA;Romain Cogitore;hombre;1;pelicula
67;24/2/2022;LAS CERCANAS;1250;9;1;5;0;ARGENTINA;ARGENTINA;María Álvarez;mujer;1;documental
68;10/2/2022;NIDO;451;6;1;3;0;ARGENTINA;ARGENTINA;Miguel Baratta;hombre;1;documental
69;2/9/2021;UNA CASA SIN CORTINAS;409;5;1;8;0;ARGENTINA;ARGENTINA;Julián Troksberg;hombre;0.5;documental
