"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Ô..Rank","rank_mes","rank_anterior","rank_total"
"1","BATMAN",1070186,137157,184242,439417,5,556,1845,347,419,556,4,"EE.UU","EE.UU","pelicula",1,"MARZO",1,1,1,1
"2","LOS TIPOS MALOS",174545,87265,87080,200,3,320,624,303,320,1,3,"EE.UU","EE.UU","pelicula",1,"MARZO",2,34,2,2
"3","UNCHARTED: FUERA DEL MAPA",153641,20844,24543,65540,7,174,511,77,95,174,4,"EE.UU","EE.UU","pelicula",1,"MARZO",5,2,4,3
"4","JUJUTSU KAISEN 0",72405,72405,NA,72405,1,103,103,103,NA,103,1,"JAPON","ASIA","pelicula",1,"MARZO",3,3,NA,4
"5","SING 2, VEN Y CANTA DE NUEVO",62110,6934,7790,26074,14,136,366,42,57,136,4,"EE.UU","EE.UU","pelicula",1,"MARZO",10,4,8,5
"6","SPIDER MAN SIN CAMINO A CASA",60272,4854,7415,28778,17,114,276,28,37,114,4,"EE.UU","EE.UU","pelicula",1,"MARZO",12,3,9,6
"7","COMPETENCIA OFICIAL",60257,28216,31645,396,3,126,227,126,99,2,3,"ESPA√ëA","EUROPA","pelicula",1,"MARZO",4,25,3,7
"8","EL EXORCISMO DE DIOS",49547,9515,11831,13147,7,55,200,38,53,55,4,"EE.UU","EE.UU","pelicula",1,"MARZO",8,5,6,8
"9","AMBULANCIA",35677,13107,22570,22570,2,163,312,163,149,149,2,"EE.UU","EE.UU","pelicula",1,"MARZO",6,5,5,9
"10","""BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE""",21097,21097,NA,21097,1,49,49,49,NA,49,1,"EE.UU","EE.UU","pelicula",1,"MARZO",4,4,NA,10
"11","ENCANTO",17293,2876,2413,5867,20,60,156,24,20,52,4,"EE.UU","EE.UU","pelicula",1,"MARZO",13,8,11,11
"12","KING",16252,1123,2250,99,4,115,159,10,33,1,4,"FRANCIA","EUROPA","pelicula",1,"MARZO",20,40,12,12
"13","MUERTE EN EL NILO",13302,686,1395,7370,7,29,65,5,10,29,4,"EE.UU","EE.UU","pelicula",1,"MARZO",26,6,14,13
"14","EL PADRINO 50 A√ëOS",10878,1339,1301,4786,17,20,45,7,5,13,4,"EE.UU","EE.UU","pelicula",1,"MARZO",16,9,15,14
"15","A CIEGAS",10687,2704,7881,102,3,63,89,25,63,1,3,"CANADA","NORTE AMERICA","pelicula",1,"MARZO",14,39,7,15
"16","TIEMPOS VIOLENTOS",10472,10472,NA,10472,1,47,47,47,NA,47,1,"EE.UU","EE.UU","pelicula",1,"MARZO",7,7,NA,16
"17","LA LLAMADA FINAL",9969,553,1038,6305,5,42,73,5,9,42,4,"EE.UU","EE.UU","pelicula",1,"MARZO",29,7,17,17
"18","BELFAST",9256,1216,1489,4107,5,30,87,17,19,30,4,"UK","EUROPA","pelicula",1,"MARZO",17,10,13,18
"19","HASTA LA MUERTE",7663,7663,NA,7663,1,45,45,45,NA,45,1,"EE.UU","EE.UU","pelicula",1,"MARZO",9,9,NA,19
"20","CORAZON DE FUEGO",7442,461,395,3636,8,26,55,4,5,20,4,"FRANCIA","EUROPA","pelicula",1,"MARZO",30,11,27,20
"21","SWORD ART ONLINE PROGRESSIVE: ARIA DE UNA NOCHE SIN ESTR..",7276,79,7197,7197,2,61,64,3,61,61,2,"JAPON","ASIA","pelicula",1,"MARZO",47,8,8,21
"22","EXODO",6355,6355,NA,6355,1,80,80,80,NA,80,1,"ALEMANIA","EUROPA","pelicula",1,"MARZO",11,11,NA,22
"23","SPENCER",5885,834,631,3095,6,19,44,11,4,19,4,"UK","EUROPA","pelicula",1,"MARZO",24,12,22,23
"24","LICORICE PIZZA",5845,1149,750,2518,10,13,42,13,6,12,4,"EE.UU","EE.UU","pelicula",1,"MARZO",19,13,19,24
"25","MILAGRO EN LA CUEVA",4434,26,4408,4408,2,72,74,2,72,72,2,"TAILANDIA","ASIA","pelicula",1,"MARZO",61,10,10,25
"26","ECOS DE UN CRIMEN",3712,560,470,1448,10,7,19,2,5,5,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",28,14,23,26
"27","AXIOMAS",3010,294,295,297,4,14,22,2,5,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",36,26,29,27
"28","TERROR EN EL ESTUDIO 666",2505,17,2488,2488,2,26,27,1,26,26,2,"EE.UU","EE.UU","pelicula",1,"MARZO",62,10,10,28
"29","EL CALLEJON DE LAS ALMAS PERDIDAS",2447,1183,40,808,9,9,19,9,2,5,4,"EE.UU","EE.UU","pelicula",1,"MARZO",18,18,55,29
"30","AZOR",2337,2067,270,270,2,19,20,19,1,1,2,"SUIZA","EUROPA","pelicula",1,"MARZO",15,32,32,30
"31","BAJO LA CORTEZA",1744,133,743,776,4,8,23,3,8,8,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",42,19,20,31
"32","""CICLO CULTURAL SAN MARTIN MARZO 2022""",1431,334,289,398,5,1,4,1,1,1,4,"","","festival",1,"MARZO",34,23,30,32
"33","EX CASADOS",1388,19,414,955,15,4,9,1,4,4,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",60,20,25,33
"34","CLIFFORD EL GRAN PERRO ROJO",1380,102,87,820,18,5,12,1,2,5,4,"EE.UU","EE.UU","pelicula",1,"MARZO",49,17,45,34
"35","""EL CAIRO MARZO- ABRIL 2022""",1220,381,274,284,4,1,4,1,1,1,4,"","","festival",1,"MARZO",32,29,31,35
"36","HOY SE ARREGLA EL MUNDO",1214,60,702,252,12,4,11,1,4,3,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",53,32,21,36
"37","BREVE ENCUENTRO CON FRANCOIS TRUFFAUT",1174,1174,NA,1174,1,1,1,1,NA,1,1,"","","festival",1,"MARZO",16,16,NA,37
"38","LA CASA DE LOS CONEJOS",1143,1046,97,97,13,10,13,10,3,3,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",22,44,44,38
"39","R J W",1103,1103,NA,1103,1,5,5,5,NA,5,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",21,21,NA,39
"40","REDESCUBRIR A ROBERT BRESSON",1031,1031,NA,1031,2,1,1,1,NA,1,1,"","","festival",1,"MARZO",15,15,NA,40
"41","YO NENA YO PRINCESA",1031,86,945,945,15,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",43,16,16,41
"42","""ETIQUETA NEGRA MARZO""",965,840,125,125,2,1,2,1,1,1,2,"","","festival",1,"MARZO",18,37,37,42
"43","LOS OJOS DE TAMMY FAYE",927,927,NA,927,1,13,13,13,NA,13,1,"EE.UU","EE.UU","pelicula",1,"MARZO",23,23,NA,43
"44","VOCES DORADAS",910,192,718,718,2,8,9,1,8,8,2,"ISRAEL","ASIA","pelicula",1,"MARZO",36,20,20,44
"45","LA CASA GUCCI",854,736,118,118,18,10,12,10,2,2,2,"EE.UU","EE.UU","pelicula",1,"MARZO",25,38,38,45
"46","MADRES PARALELAS",824,54,8,354,8,3,7,1,1,2,4,"ESPA√ëA","EUROPA","pelicula",1,"MARZO",54,24,72,46
"47","LAS NOCHES SON DE LOS MONSTRUOS",707,34,614,59,3,6,8,1,6,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",57,47,21,47
"48","CODA",653,653,NA,653,6,18,18,18,NA,18,1,"EE.UU","EE.UU","pelicula",1,"MARZO",27,27,NA,48
"49","LAS METAMORFOSIS",646,248,157,51,4,1,4,1,1,1,4,"COREA DEL SUR","ASIA","pelicula",1,"MARZO",39,48,38,49
"50","NOCHE AMERICANA",602,135,400,67,5,4,9,3,4,2,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",41,45,26,50
"51","EL PAIS DE LAS ULTIMAS COSAS",594,228,366,366,2,6,8,2,6,6,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",34,27,27,51
"52",""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""",548,548,NA,548,2,1,1,1,NA,1,1,"","","festival ",1,"MARZO",21,21,NA,52
"53","ATLAS",533,119,122,192,4,1,4,1,1,1,4,"SUIZA","EUROPA","pelicula",1,"MARZO",45,33,41,53
"54","EL PERRO QUE NO CALLA",507,125,110,142,18,2,6,2,1,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",43,35,43,54
"55","RE GRANCHIO",479,60,122,270,5,5,10,2,5,2,4,"ITALIA","EUROPA","pelicula",1,"MARZO",52,31,40,55
"56","JACKASS POR SIEMPRE",437,13,424,424,4,8,9,1,8,8,2,"EE.UU","EE.UU","pelicula",1,"MARZO",56,22,22,56
"57","DRIVE MY CAR",436,436,NA,436,1,1,1,1,NA,1,1,"COREA DEL SUR","ASIA","pelicula",1,"MARZO",24,24,NA,57
"58","SCREAM: GRITA",434,116,37,281,11,2,4,1,1,2,3,"EE.UU","EE.UU","pelicula",1,"MARZO",46,30,49,58
"59","MORBIUS",429,429,NA,429,1,2,2,2,NA,2,1,"EE.UU","EE.UU","pelicula",1,"MARZO",31,31,NA,59
"60","DOROTHY ARZNER -PIONERA DE HOLLYWOOD",413,326,87,87,2,1,2,1,1,1,2,"","","festival",1,"MARZO",29,42,42,60
"61","DUNA",377,369,8,8,16,9,10,9,1,1,2,"EE.UU","EE.UU","pelicula",1,"MARZO",33,71,71,61
"62","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",355,109,84,108,8,2,6,2,1,2,4,"FRANCIA","EUROPA","pelicula",1,"MARZO",48,39,46,62
"63","OTRA CONDENA",339,339,NA,339,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",28,28,NA,63
"64","LA FIESTA SILENCIOSA",338,338,NA,338,7,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",28,28,NA,64
"65","JES√öS L√ìPEZ",327,19,23,32,8,5,10,1,3,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",61,57,62,65
"66","EL HOMBRE QUE VENDI√ì SU PIEL",326,43,283,283,3,1,2,1,1,1,2,"TUNEZ","AFRICA","pelicula",1,"MARZO",54,30,30,66
"67","LAS CERCANAS",319,9,19,287,5,4,7,1,1,4,4,"ARGENTINA","ARGENTINA","documental",1,"MARZO",67,28,64,67
"68","""TARDES DE CINE ARTE""",318,80,68,81,5,1,4,1,1,1,4,"","","festival",1,"MARZO",50,44,49,68
"69","SEXO DESAFORTUNADO O PORNO LOCO",315,123,31,28,11,2,6,2,1,1,4,"RUMANIA","EUROPA","pelicula",1,"MARZO",44,60,58,69
"70","ADIOS A LA MEMORIA",303,303,NA,303,1,7,7,7,NA,7,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",35,35,NA,70
"71","EL MAESTRO",298,298,NA,298,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",25,25,NA,71
"72","LAS SIAMESAS",290,290,NA,290,26,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",27,27,NA,72
"73","AMOR SIN BARRERA",287,287,NA,287,15,8,8,8,NA,8,1,"EE.UU","EE.UU","pelicula",1,"MARZO",37,37,NA,73
"74","LA DOSIS",267,267,NA,267,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",33,33,NA,74
"75","LA ISLA DE LOS SECRETOS",259,259,NA,259,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",38,38,NA,75
"76","PASAJERO 666",243,73,170,170,7,1,2,1,1,1,2,"RUSIA","EUROPA","pelicula",1,"MARZO",44,34,34,76
"77","EL EMPLEADO Y EL PATRON",209,112,64,33,10,2,5,2,2,1,3,"URUGUAY","LATAM","pelicula",1,"MARZO",42,56,46,77
"78","PLANTA PERMANENTE",200,200,NA,200,15,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",35,35,NA,78
"79","LA FORMA DEL BOSQUE",181,181,NA,181,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",37,37,NA,79
"80","(‚Ä¶) EL MISMO RIO ",164,164,NA,164,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",40,40,NA,80
"81","TRES EN LA DERIVA DEL ACTO CREATIVO",143,39,28,41,11,1,4,1,1,1,4,"ARGENTINA","ARGENTINA","documental",1,"MARZO",56,53,59,81
"82","SALIR DE PUTA",138,138,NA,138,2,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",36,36,NA,82
"83","MONTE ADENTRO",125,125,NA,125,1,1,1,1,NA,1,1,"COLOMBIA","LATAM","documental",1,"MARZO",38,38,NA,83
"84","PIEDRA NOCHE",125,125,NA,125,5,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",39,39,NA,84
"85","KING RICHARD: UNA FAMILIA GANADORA",118,111,7,7,8,9,10,9,1,1,2,"EE.UU","EE.UU","pelicula",1,"MARZO",47,75,75,85
"86","YO TRAIDOR",114,55,18,41,11,2,4,2,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",50,52,54,86
"87","PUNTO ROJO",87,87,NA,87,3,1,1,1,NA,1,1,"SUECIA","EUROPA","pelicula",1,"MARZO",41,41,NA,87
"88","EMILIA",85,2,83,83,10,5,6,1,5,5,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",77,43,43,88
"89","RETROSPECTIVA DE ALEJANDRO FERNANDEZ MOUJAN",84,66,18,18,2,1,2,1,1,1,2,"","","festival",1,"MARZO",51,65,65,89
"90","""HERMANOS COEN: PRIMEROS Y SEGUNDOS PASOS""",79,22,27,30,3,1,3,1,1,1,3,"","","festival",1,"MARZO",59,51,60,90
"91","LA TEORIA DE LOS VIDRIOS ROTOS",79,54,25,25,11,2,3,2,1,1,2,"URUGUAY","LATAM","pelicula",1,"MARZO",51,53,53,91
"92","LINEA 137",79,79,NA,79,3,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",45,45,NA,92
"93","CASATE CONMIGO",69,69,NA,69,4,1,1,1,NA,1,1,"EE.UU","EE.UU","pelicula",1,"MARZO",46,46,NA,93
"94","MISERERE: LOS PIBES DE LA ESTACI√ìN",68,68,NA,68,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",48,48,NA,94
"95","CHARLOTTE",62,62,NA,62,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",47,47,NA,95
"96","EL TERRITORIO DEL AMOR",56,13,43,43,3,1,2,1,1,1,2,"FRANCIA","EUROPA","pelicula",1,"MARZO",66,53,53,96
"97","KARAKOL",51,7,44,44,2,5,6,1,5,5,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",61,49,49,97
"98","MILAGRO DE OTO√ëO",50,50,NA,50,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",52,52,NA,98
"99","UN CUERPO ESTALLO EN MIL PEDAZOS",50,29,21,21,8,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",58,63,63,99
"100","MOONFALL",47,5,42,42,6,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"MARZO",66,50,50,100
"101","UNA SOLA NOCHE",46,12,34,34,10,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",69,55,55,101
"102","LINA DE LIMA",43,2,41,41,2,4,5,1,4,4,2,"CHILE ","LATAM","pelicula",1,"MARZO",71,51,51,102
"103","EL RITUAL DEL ALCAUCIL",41,41,NA,41,3,4,4,4,NA,4,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",55,55,NA,103
"104","FIDEL NI√ëO VALIENTE",37,37,NA,37,2,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",56,56,NA,104
"105","AMOR BANDIDO",36,36,NA,36,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",57,57,NA,105
"106","EL REGRESO DE GULLIVER",35,35,NA,35,4,1,1,1,NA,1,1,"UCRANIA","EUROPA","pelicula",1,"MARZO",54,54,NA,106
"107","CAPERUCITA ROJA",34,6,28,28,6,3,4,1,3,3,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,58,58,107
"108","ALGO SE ENCIENDE",28,28,NA,28,4,5,5,5,NA,5,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",59,59,NA,108
"109","MUESTRA ENTERRIANA ENERO-ABRIL",22,11,11,11,4,1,2,1,1,1,2,"","","festival",1,"MARZO",70,64,64,109
"110","ILSE FUSKOVA",21,2,19,19,10,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",69,61,61,110
"111","CHANGO LA LUZ DESCUBRE",19,17,2,2,5,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",66,70,70,111
"112","ESE FIN DE SEMANA",18,6,12,12,8,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",63,63,63,112
"113","LA VIDA DORMIDA",18,18,NA,18,8,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",62,62,NA,113
"114","LOS PASEOS",16,7,9,9,4,2,3,1,2,2,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",74,60,60,114
"115","VICENTA",16,10,6,6,3,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",57,66,66,115
"116","ANUNCIAN SISMOS",15,15,NA,15,5,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",67,67,NA,116
"117","LEJOS DE CASA",15,9,6,6,2,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",58,67,67,117
"118","RODOLFO WALSH - EL DOCUMENTAL",15,15,NA,15,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",63,63,NA,118
"119","EN COMPA√ëIA",14,14,NA,14,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,65,NA,119
"120","LA ENCOMIENDA",14,14,NA,14,6,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",55,55,NA,120
"121","LA GUARDER√çA",14,14,NA,14,22,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",64,64,NA,121
"122","SUE√ëOS",13,13,NA,13,2,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",68,68,NA,122
"123","BERNARDA ES LA PATRIA",10,10,NA,10,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,65,NA,123
"124","EL PISO DEL VIENTO",10,1,9,9,3,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",78,59,59,124
"125","""FUNDACION COLUMBIA MAR-MAY""",8,8,NA,8,1,1,1,1,NA,1,1,"","","festival",1,"MARZO",73,73,NA,125
"126","9",6,6,NA,6,8,1,1,1,NA,1,1,"URUGUAY","LATAM","pelicula",1,"MARZO",64,64,NA,126
"127","EL CUENTO DEL TIO",6,6,NA,6,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",62,62,NA,127
"128","NIDO",6,6,NA,6,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",68,68,NA,128
"129","UNA CASA SIN CORTINAS",5,5,NA,5,8,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",69,69,NA,129
"130","LO QUE EL CUERPO DEBE",4,4,NA,4,1,1,1,1,NA,1,1,"","","",1,"MARZO",76,76,NA,130
"131","LAS RANAS",3,3,NA,3,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",68,68,NA,131
